Código;Instrumento;Nombre Municipio;Código Dane Municipio;Nombre Institución;Código Dane Institución;Nombre Sede;Código Dane Sede;Dirección;Auditor;Código auditor;N° Visita;Fecha Planeada Inicio;Promedio Total;1:00 p. m.;2:00 p. m.;3:00 p. m.;4:00 p. m.;5:00 p. m.;6:00 p. m.;7:00 p. m.;8:00 p. m.;9:00 p. m.;10:00 p. m.;11:00 p. m.;12:00 p. m.;13 P;14 P;15 P;16 P;17 P;18 P;19 P;Promedio Categoría General
BO-A-250131-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;25;31/01/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250207-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;0,95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0,95
BO-A-250207-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250207-VH-WGX105;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250213-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;0,94;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,94
BO-A-250213-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-250213-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250221-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250221-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-250221-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;0,94;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,94
BO-A-250227-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250227-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250227-VH-SRZ823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;0,89;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,89
BO-A-250227-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;0,95;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,95
BO-A-250314-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250314-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250314-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
